ID	H01.metaphlan2.profile	H02.metaphlan2.profile	H03.metaphlan2.profile	H04.metaphlan2.profile	H05.metaphlan2.profile	H06.metaphlan2.profile	H07.metaphlan2.profile	H08.metaphlan2.profile	H09.metaphlan2.profile	H10.metaphlan2.profile	H11.metaphlan2.profile	H12.metaphlan2.profile	H13.metaphlan2.profile	P01.metaphlan2.profile	P02.metaphlan2.profile	P03.metaphlan2.profile	P04.metaphlan2.profile	P05.metaphlan2.profile	P06.metaphlan2.profile	P07.metaphlan2.profile	P08.metaphlan2.profile	P09.metaphlan2.profile	P10.metaphlan2.profile	P11.metaphlan2.profile	P12.metaphlan2.profile	P13.metaphlan2.profile	P14.metaphlan2.profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_propionicum	0.11398	0.0	0.05653	0.0	0.0	0.0	0.01706	0.0	0.02206	0.0	0.0	0.0	0.0	0.00914	0.0	0.03607	0.21371	0.13055	0.137	0.06107	0.0	0.0	0.34343	0.14743	0.00455	0.0	0.31086
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_propionicum|t__GCF_000277715	0.11398	0.0	0.05653	0.0	0.0	0.0	0.01706	0.0	0.02206	0.0	0.0	0.0	0.0	0.00914	0.0	0.03607	0.21371	0.13055	0.137	0.06107	0.0	0.0	0.34343	0.14743	0.00455	0.0	0.31086
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0	0.54063	0.07333	0.00345	0.02237	0.06399	0.87662	0.01195	0.09695	0.0	0.00807	0.0	0.0	0.94362	6.96348	2.14225	0.0	0.0	0.2645	0.0152	0.80998	0.0	0.0	0.024	0.45188	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.0	0.54063	0.07333	0.00345	0.02237	0.06399	0.87662	0.01195	0.09695	0.0	0.00807	0.0	0.0	0.94362	6.96348	2.14225	0.0	0.0	0.2645	0.0152	0.80998	0.0	0.0	0.024	0.45188	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens|t__Alloscardovia_omnicolens_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59841	4.72041	1.58172	0.0	0.0	0.0	0.0	0.75548	0.0	0.0	0.0	0.28491	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59841	1.19538	0.71074	0.0	0.0	0.0	0.0	0.75548	0.0	0.0	0.0	0.28491	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__Bifidobacterium_dentium_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59841	1.19538	0.71074	0.0	0.0	0.0	0.0	0.75548	0.0	0.0	0.0	0.28491	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52503	0.87098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52503	0.87098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13227	0.0	0.0	0.0	0.0	0.2645	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13227	0.0	0.0	0.0	0.0	0.2645	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis|t__Gardnerella_vaginalis_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13227	0.0	0.0	0.0	0.0	0.2645	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens|t__Parascardovia_denticolens_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0.0	0.54063	0.07333	0.00345	0.02237	0.06399	0.87662	0.01195	0.09695	0.0	0.00807	0.0	0.0	0.14413	2.24306	0.52801	0.0	0.0	0.0	0.0152	0.05449	0.0	0.0	0.0	0.16698	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_inopinata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_inopinata|t__GCF_000163755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_unclassified	0.0	0.0	0.00668	0.0	0.0	0.06399	0.0	0.00978	0.0	0.0	0.0	0.0	0.0	0.0	0.33584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae	0.0	0.54063	0.06665	0.00345	0.02237	0.0	0.87662	0.00217	0.09695	0.0	0.00807	0.0	0.0	0.06294	1.90722	0.52801	0.0	0.0	0.0	0.0152	0.05449	0.0	0.0	0.0	0.16698	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae|t__Scardovia_wiggsiae_unclassified	0.0	0.54063	0.06665	0.00345	0.02237	0.0	0.87662	0.00217	0.09695	0.0	0.00807	0.0	0.0	0.06294	1.90722	0.52801	0.0	0.0	0.0	0.0152	0.05449	0.0	0.0	0.0	0.16698	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	3.26046	0.79944	0.26196	0.20989	0.14764	2.97464	3.72973	0.15416	0.59835	0.14181	0.86745	0.0548	2.54221	3.80586	1.46534	1.52255	0.08937	0.05509	0.20738	0.36164	1.11074	0.51019	0.33036	0.30469	1.68972	0.1674	0.16779
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	3.26046	0.79944	0.26196	0.20989	0.14764	2.97464	3.72973	0.15416	0.59835	0.14181	0.86745	0.0548	2.54221	3.80586	1.46534	1.52255	0.08937	0.05509	0.20738	0.36164	1.11074	0.51019	0.33036	0.30469	1.68972	0.1674	0.16779
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	3.26046	0.79944	0.26196	0.20989	0.14764	2.97464	3.69839	0.15416	0.58268	0.14181	0.86745	0.0548	2.54221	3.27569	0.6726	1.31212	0.08937	0.05509	0.20738	0.36164	1.03575	0.51019	0.31034	0.30469	1.67122	0.1674	0.16779
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum	3.10479	0.74582	0.10027	0.20989	0.12775	2.90355	2.88223	0.14739	0.52834	0.13321	0.79811	0.0548	2.54221	1.16187	0.06415	0.96335	0.08937	0.04985	0.19143	0.29519	0.02595	0.51019	0.01851	0.29003	1.27296	0.1674	0.03282
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum|t__GCF_000024225	3.10479	0.74582	0.10027	0.20989	0.12775	2.90355	2.88223	0.14739	0.52834	0.13321	0.79811	0.0548	2.54221	1.16187	0.06415	0.96335	0.08937	0.04985	0.19143	0.29519	0.02595	0.51019	0.01851	0.29003	1.27296	0.1674	0.03282
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae	0.15566	0.05362	0.16169	0.0	0.0199	0.07109	0.81616	0.00678	0.05434	0.0086	0.06934	0.0	0.0	2.11383	0.60845	0.34878	0.0	0.00524	0.01595	0.06645	1.0098	0.0	0.29183	0.01466	0.39826	0.0	0.13497
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae|t__GCF_000174015	0.15566	0.05362	0.16169	0.0	0.0199	0.07109	0.81616	0.00678	0.05434	0.0086	0.06934	0.0	0.0	2.11383	0.60845	0.34878	0.0	0.00524	0.01595	0.06645	1.0098	0.0	0.29183	0.01466	0.39826	0.0	0.13497
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Cryptobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.01784	0.0	0.0	0.0	0.0	0.0	0.0	0.1467	0.02645	0.21042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Cryptobacterium|s__Cryptobacterium_curtum	0.0	0.0	0.0	0.0	0.0	0.0	0.01784	0.0	0.0	0.0	0.0	0.0	0.0	0.1467	0.02645	0.21042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Cryptobacterium|s__Cryptobacterium_curtum|t__GCF_000023845	0.0	0.0	0.0	0.0	0.0	0.0	0.01784	0.0	0.0	0.0	0.0	0.0	0.0	0.1467	0.02645	0.21042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella	0.0	0.0	0.0	0.0	0.0	0.0	0.01187	0.0	0.0	0.0	0.0	0.0	0.0	0.21057	0.23866	0.0	0.0	0.0	0.0	0.0	0.03894	0.0	0.02002	0.0	0.0185	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_profusa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_profusa|t__GCF_000468755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_uli	0.0	0.0	0.0	0.0	0.0	0.0	0.00589	0.0	0.0	0.0	0.0	0.0	0.0	0.16583	0.23866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_uli|t__GCF_000143845	0.0	0.0	0.0	0.0	0.0	0.0	0.00589	0.0	0.0	0.0	0.0	0.0	0.0	0.16583	0.23866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.00598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03894	0.0	0.02002	0.0	0.0185	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	0.0	0.0	0.0	0.0	0.0	0.0	0.00163	0.0	0.01566	0.0	0.0	0.0	0.0	0.1729	0.52762	0.0	0.0	0.0	0.0	0.0	0.03605	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_exigua	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02591	0.15476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_exigua|t__GCF_000162875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02591	0.15476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.00163	0.0	0.01566	0.0	0.0	0.0	0.0	0.147	0.37287	0.0	0.0	0.0	0.0	0.0	0.03605	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes	36.79407	24.40597	16.92018	13.29157	12.1323	16.76444	8.74668	11.94777	18.14756	7.13506	30.1722	12.8122	10.00017	16.60368	21.40997	34.64532	14.81941	37.71229	33.24505	35.3163	47.34138	28.49688	32.14713	9.9601	31.12963	14.43293	30.02999
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.085	0.05983	0.11856	0.0	0.0	0.0	0.0	0.0	0.03304	0.00098	0.0	0.0	0.0	0.04112	0.75377	0.79145	2.86664	0.1584	0.19572	0.19158	0.46439	0.0	1.52091	0.06783	0.01515	0.0	0.83974
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.085	0.05983	0.11856	0.0	0.0	0.0	0.0	0.0	0.03304	0.00098	0.0	0.0	0.0	0.04112	0.75377	0.79145	2.86664	0.1584	0.19572	0.19158	0.46439	0.0	1.52091	0.06783	0.01515	0.0	0.83974
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname	0.085	0.05983	0.11856	0.0	0.0	0.0	0.0	0.0	0.03304	0.00098	0.0	0.0	0.0	0.04112	0.75377	0.79145	2.86664	0.1584	0.19572	0.19158	0.46439	0.0	1.52091	0.06783	0.01515	0.0	0.83974
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname|g__Bacteroidetes_noname	0.085	0.05983	0.11856	0.0	0.0	0.0	0.0	0.0	0.03304	0.00098	0.0	0.0	0.0	0.04112	0.75377	0.79145	2.86664	0.1584	0.19572	0.19158	0.46439	0.0	1.52091	0.06783	0.01515	0.0	0.83974
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname|g__Bacteroidetes_noname|s__Bacteroidetes_bacterium_oral_taxon_272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06157	0.02099	0.0	0.0	0.0	0.02639	0.35295	0.0	0.00593	0.0	0.0	0.0	0.11559
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname|g__Bacteroidetes_noname|s__Bacteroidetes_bacterium_oral_taxon_272|t__GCF_000442105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06157	0.02099	0.0	0.0	0.0	0.02639	0.35295	0.0	0.00593	0.0	0.0	0.0	0.11559
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname|g__Bacteroidetes_noname|s__Bacteroidetes_oral_taxon_274	0.085	0.05983	0.11856	0.0	0.0	0.0	0.0	0.0	0.03304	0.00098	0.0	0.0	0.0	0.04112	0.6922	0.77047	2.86664	0.1584	0.19572	0.16518	0.11144	0.0	1.51498	0.06783	0.01515	0.0	0.72416
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname|g__Bacteroidetes_noname|s__Bacteroidetes_oral_taxon_274|t__GCF_000163695	0.085	0.05983	0.11856	0.0	0.0	0.0	0.0	0.0	0.03304	0.00098	0.0	0.0	0.0	0.04112	0.6922	0.77047	2.86664	0.1584	0.19572	0.16518	0.11144	0.0	1.51498	0.06783	0.01515	0.0	0.72416
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	36.31532	23.88194	16.277	13.03603	12.05158	15.81007	8.74668	11.09658	18.0802	6.88176	30.10578	12.8122	10.00017	16.37291	18.67511	32.07292	7.37803	35.37779	32.01968	33.3353	46.2691	27.65197	25.80279	7.93502	30.81751	14.43293	28.85779
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	36.31532	23.88194	16.277	13.03603	12.05158	15.81007	8.74668	11.09658	18.0802	6.88176	30.10578	12.8122	10.00017	16.37291	18.67511	32.07292	7.37803	35.37779	32.01968	33.3353	46.2691	27.65197	25.80279	7.93502	30.81751	14.43293	28.85779
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	15.15568	2.9209	9.225	6.20241	5.31418	10.47047	0.55957	5.54063	7.18983	3.68826	17.43975	9.59895	0.0	1.59646	1.58667	2.63101	2.90816	20.24097	21.87974	11.39713	28.62838	9.38383	10.38129	2.18502	2.71029	10.18369	18.06869
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	15.15568	2.88385	9.10526	6.20241	5.31418	10.47047	0.55957	5.54063	7.18836	3.68826	17.43975	9.59895	0.0	1.13335	0.39831	1.34399	2.90816	18.83956	21.77955	11.15573	23.98448	8.59691	8.79189	2.12274	2.35993	9.21936	16.74459
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_catoniae	0.0	0.08947	0.09559	0.0	0.0	0.0	0.0	0.00403	0.0	0.0245	0.0	0.0	0.0	0.0	0.0	0.00993	0.0	0.0	0.08967	0.12472	0.0	0.0	0.25143	0.06259	0.01304	0.0	0.05432
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_catoniae|t__GCF_000318215	0.0	0.08947	0.09559	0.0	0.0	0.0	0.0	0.00403	0.0	0.0245	0.0	0.0	0.0	0.0	0.0	0.00993	0.0	0.0	0.08967	0.12472	0.0	0.0	0.25143	0.06259	0.01304	0.0	0.05432
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis	0.08647	0.33705	0.40902	0.11962	0.10052	0.21196	0.00844	0.0	0.13258	0.03633	0.12131	0.02666	0.0	0.83898	0.05098	1.33407	0.0	5.56592	0.43166	1.48998	3.98906	0.74989	2.11748	0.221	1.08767	1.84221	6.33311
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis|t__GCF_000174815	0.08647	0.33705	0.40902	0.11962	0.10052	0.21196	0.00844	0.0	0.13258	0.03633	0.12131	0.02666	0.0	0.83898	0.05098	1.33407	0.0	5.56592	0.43166	1.48998	3.98906	0.74989	2.11748	0.221	1.08767	1.84221	6.33311
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis	0.0	0.0	0.49927	0.0	0.0	0.06475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29437	0.34733	0.0	0.0	13.27364	0.18422	0.0	19.99542	4.52758	2.98656	0.0	1.25922	7.37715	10.35716
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis|t__Porphyromonas_gingivalis_unclassified	0.0	0.0	0.49927	0.0	0.0	0.06475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29437	0.34733	0.0	0.0	13.27364	0.18422	0.0	19.99542	4.52758	2.98656	0.0	1.25922	7.37715	10.35716
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86638	0.0	0.0	2.21197	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_278|t__GCF_000467855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86638	0.0	0.0	2.21197	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_279	15.06921	2.45733	8.10138	6.08279	5.21366	10.19376	0.55113	5.53661	7.05578	3.62743	17.31844	9.57228	0.0	0.0	0.0	0.0	2.90816	0.0	21.074	8.67465	0.0	3.31944	1.22445	1.83914	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_279|t__GCF_000292995	15.06921	2.45733	8.10138	6.08279	5.21366	10.19376	0.55113	5.53661	7.05578	3.62743	17.31844	9.57228	0.0	0.0	0.0	0.0	2.90816	0.0	21.074	8.67465	0.0	3.31944	1.22445	1.83914	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Tannerella	0.0	0.03705	0.11974	0.0	0.0	0.0	0.0	0.0	0.00147	0.0	0.0	0.0	0.0	0.4631	1.18835	1.28702	0.0	1.40141	0.10019	0.2414	4.64391	0.78692	1.5894	0.06229	0.35037	0.96433	1.3241
