ID	H01.metaphlan2.profile	H02.metaphlan2.profile	H03.metaphlan2.profile	H04.metaphlan2.profile	H05.metaphlan2.profile	H06.metaphlan2.profile	H07.metaphlan2.profile	H08.metaphlan2.profile	H09.metaphlan2.profile	H10.metaphlan2.profile	H11.metaphlan2.profile	H12.metaphlan2.profile	H13.metaphlan2.profile	P01.metaphlan2.profile	P02.metaphlan2.profile	P03.metaphlan2.profile	P04.metaphlan2.profile	P05.metaphlan2.profile	P06.metaphlan2.profile	P07.metaphlan2.profile	P08.metaphlan2.profile	P09.metaphlan2.profile	P10.metaphlan2.profile	P11.metaphlan2.profile	P12.metaphlan2.profile	P13.metaphlan2.profile	P14.metaphlan2.profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii|t__Actinomyces_johnsonii_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01375	0.0	0.0	0.0	0.0	0.0	0.00546	0.00868	0.0	0.37954	0.0	0.0	0.0	0.0	0.0	0.28987	0.04334	0.0	0.0	0.01917
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis	0.0	0.00659	0.0	0.0	0.0	0.05847	0.0	0.12791	0.0	0.00063	0.11968	0.0	0.0	0.0	0.0066	0.00465	0.10143	0.11141	0.0	0.01464	0.0	0.0	0.09162	0.1873	0.01751	0.0	0.00609
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis|t__Actinomyces_massiliensis_unclassified	0.0	0.00659	0.0	0.0	0.0	0.05847	0.0	0.12791	0.0	0.00063	0.11968	0.0	0.0	0.0	0.0066	0.00465	0.10143	0.11141	0.0	0.01464	0.0	0.0	0.09162	0.1873	0.01751	0.0	0.00609
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01899	0.0	0.0	0.0	0.0	0.0	0.0	0.22283	0.0	0.09062	0.0	0.0	0.01188	0.0	0.0	0.06404	0.01542	0.01383	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii|t__GCF_000285995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01899	0.0	0.0	0.0	0.0	0.0	0.0	0.22283	0.0	0.09062	0.0	0.0	0.01188	0.0	0.0	0.06404	0.01542	0.01383	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0.35994	0.01198	0.02761	0.26958	0.27203	0.34731	1.17638	1.39562	0.86533	0.03108	2.82941	0.60176	0.9296	0.84387	0.27091	0.03824	0.09931	0.1645	0.23636	0.18098	0.0	0.47059	0.1535	0.20337	0.24703	1.32758	0.13021
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus|t__Actinomyces_odontolyticus_unclassified	0.35994	0.01198	0.02761	0.26958	0.27203	0.34731	1.17638	1.39562	0.86533	0.03108	2.82941	0.60176	0.9296	0.84387	0.27091	0.03824	0.09931	0.1645	0.23636	0.18098	0.0	0.47059	0.1535	0.20337	0.24703	1.32758	0.13021
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	0.005	0.00151	0.0	0.0	0.0067	0.0	0.38309	0.20173	0.0	0.0	0.09222	0.63704	0.0	0.11975	0.48108	0.00343	0.07692	0.05737	0.01344	0.0102	0.0	0.0	0.08992	0.09281	0.03838	0.02721	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris|t__GCF_000180155	0.005	0.00151	0.0	0.0	0.0067	0.0	0.38309	0.20173	0.0	0.0	0.09222	0.63704	0.0	0.11975	0.48108	0.00343	0.07692	0.05737	0.01344	0.0102	0.0	0.0	0.08992	0.09281	0.03838	0.02721	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32199	0.0	1.883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
